sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_38,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_39,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1455,2312,+,100.0,100.0
seq_39,tet(C),tetracycline efflux MFS transporter Tet(C),4334,4954,-,100.0,52.27
seq_4,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1650,2507,+,100.0,100.0
seq_4,tet(C),tetracycline efflux MFS transporter Tet(C),4529,5149,-,100.0,52.27
seq_40,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_40,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_41,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_41,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_42,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1449,2306,+,100.0,100.0
seq_42,tet(C),tetracycline efflux MFS transporter Tet(C),4328,4948,-,100.0,52.27
seq_43,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_43,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_44,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_44,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_45,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1449,2306,+,100.0,100.0
seq_45,tet(C),tetracycline efflux MFS transporter Tet(C),4328,4948,-,100.0,52.27
seq_46,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_46,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_47,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_47,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_48,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_48,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_49,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1646,2503,+,100.0,100.0
seq_49,tet(C),tetracycline efflux MFS transporter Tet(C),4525,5145,-,100.0,52.27
seq_5,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1455,2312,+,100.0,100.0
seq_5,tet(C),tetracycline efflux MFS transporter Tet(C),4334,4954,-,100.0,52.27
seq_6,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_6,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_7,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_7,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
seq_8,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1652,2509,+,100.0,100.0
seq_8,tet(C),tetracycline efflux MFS transporter Tet(C),4531,5151,-,100.0,52.27
seq_9,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1640,2497,+,100.0,100.0
seq_9,tet(C),tetracycline efflux MFS transporter Tet(C),4519,5139,-,100.0,52.27
