VectorID,Name,Vector Type,Source,Sequence Available,URL,Length,MFE,MFE_per_nt,Status
2111,pcDNA3.1/Zeo(-),Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2111/,6348,-2249.5,-0.3543635790800252,ok
2112,pcDNA3.1D V5-His-TOPO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2112/,7520,-2713.3,-0.360811170212766,ok
2113,pcDNA3.2/V5-DEST,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2113/,7449,-2732.7,-0.36685461135722913,ok
2114,pcDNA3.2/V5-GW/Directional TOPO,Mammalian Expression,Invitrogen,No,https://www.addgene.org/vector-database/2114/,,,,
2115,pcDNA3.3 TOPO TA,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2115/,6377,-2278.4,-0.3572839893366787,ok
2117,pcDNA4/His A,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2117/,,,,
2118,pcDNA4/His B,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2118/,,,,
2119,pcDNA4/His C,Mammalian Expression,Invirtogen,Yes,https://www.addgene.org/vector-database/2119/,,,,
2120,pcDNA4/His-Max A,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2120/,,,,
2121,pcDNA4/His-Max B,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2121/,6634,-2513.0,-0.37880615013566477,ok
2122,pcDNA4/His-Max C,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2122/,9310,-3323.1,-0.3569387755102041,ok
2123,pcDNA4/myc-His A,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2123/,7943,-2988.3,-0.37621805363212896,ok
2124,pcDNA4/myc-His B,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2124/,,,,
2125,pcDNA4/myc-His C,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2125/,,,,
5705,pcDNA4/TO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/5705/,,,,
2126,pcDNA4/TO/Myc-His A,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2126/,6515,-2427.4,-0.3725863392171911,ok
2127,pcDNA4/TO/Myc-His B,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2127/,,,,
2128,pcDNA4/TO/Myc-His C,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2128/,,,,
2129,pcDNA4/V5-His A,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2129/,,,,
2130,pcDNA4/V5-His B,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2130/,,,,
2131,pcDNA4/V5-His C,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2131/,,,,
2132,pcDNA5/FRT,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2132/,7524,-2759.4,-0.3667464114832536,ok
2133,pcDNA5/FRT/TO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2133/,9658,-3352.3,-0.3471008490370677,ok
2134,pcDNA5/FRT/TO-E,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2134/,,,,
2135,pcDNA5/FRT/TO-TOPO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2135/,,,,
2136,pcDNA5/FRT/V5 His TOPO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2136/,,,,
2137,pcDNA5/FRT/V5-His TOPO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2137/,,,,
2138,pcDNA5/FRT/V5-His/CAT,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2138/,,,,
5373,pcDNA5/TO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/5373/,,,,
2139,pcDNA6 BioEase-DEST,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2139/,,,,
2140,pcDNA6.2/C-EmGFP-DEST,"Mammalian Expression, Gateway Destination Vector",Invitrogen,Yes,https://www.addgene.org/vector-database/2140/,7680,-2570.9,-0.3347526041666667,ok
2141,pcDNA6.2/V5-DEST,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2141/,7294,-2537.5,-0.3478886756238004,ok
2142,pcDNA6.2/V5-GW/Directional TOPO,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2142/,,,,
2143,pcDNA6/His A,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2143/,,,,
2144,pcDNA6/His B,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2144/,,,,
2145,pcDNA6/His C,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2145/,,,,
2146,pcDNA6/myc-His A,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2146/,9537,-3600.2,-0.37749816504141764,ok
2147,pcDNA6/myc-His B,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2147/,,,,
2148,pcDNA6/myc-His C,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2148/,,,,
2149,pcDNA6/V5-His B,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2149/,7549,-2622.6,-0.3474102530136442,ok
2150,pcDNAI neo,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2150/,,,,
6173,pcDNA™3.1/myc-His A,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6173/,,,,
6174,pcDNA™3.1/myc-His B,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6174/,,,,
6175,pcDNA™3.1/myc-His C,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6175/,,,,
6170,pcDNA™3.1/myc-His(-) A,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6170/,,,,
6171,pcDNA™3.1/myc-His(-) B,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6171/,,,,
6172,pcDNA™3.1/myc-His(-) C,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6172/,,,,
6176,pcDNA™3.1/V5-His A,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6176/,,,,
6177,pcDNA™3.1/V5-His B,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6177/,,,,
6178,pcDNA™3.1/V5-His C,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6178/,,,,
6179,pcDNA™4/HisMax A,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6179/,,,,
6180,pcDNA™4/HisMax B,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6180/,6634,-2513.0,-0.37880615013566477,ok
6181,pcDNA™4/HisMax C,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6181/,,,,
6182,pcDNA™4/myc-His A,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6182/,,,,
6183,pcDNA™4/myc-His B,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6183/,,,,
6184,pcDNA™4/myc-His C,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6184/,,,,
6185,pcDNA™6/V5-His C,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/6185/,,,,
2156,pCEP4,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2156/,12916,-4704.8,-0.3642613812325798,ok
2168,pCGN,Mammalian Expression,,No,https://www.addgene.org/vector-database/2168/,6678,-2429.5,-0.3638065289008685,ok
2183,pCI,Mammalian Expression,Promega,Yes,https://www.addgene.org/vector-database/2183/,5528,-2016.3,-0.36474312590448627,ok
2184,pCI-neo,Mammalian Expression,Promega,Yes,https://www.addgene.org/vector-database/2184/,7614,-2646.1,-0.3475308641975309,ok
2185,pCIG,Mammalian Expression,,No,https://www.addgene.org/vector-database/2185/,13845,-5201.5,-0.3756951968219574,ok
2186,pCIN,Mammalian Expression,,No,https://www.addgene.org/vector-database/2186/,16409,-4570.1,-0.27851179230909867,ok
2189,pCl,Mammalian Expression,Promega,Yes,https://www.addgene.org/vector-database/2189/,4683,-1614.2,-0.3446935724962631,ok
6295,pCLuc Mini-TK 2,"Mammalian Expression, Luciferase",New England Biolabs,Yes,https://www.addgene.org/vector-database/6295/,,,,
2198,pCMS-EGFP,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/2198/,7271,-2811.0,-0.38660431852564986,ok
2199,pCMV Sport 2.2,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2199/,,,,
2200,pCMV Sport 3,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2200/,,,,
2201,pCMV Sport 4,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2201/,,,,
5863,pCMV SPORT6,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/5863/,,,,
5864,pCMV SPORT6.1,Mammalian Expression,Invitrogen (Life Technologies),Yes,https://www.addgene.org/vector-database/5864/,,,,
6186,pCMV-(DYKDDDDK)-C,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6186/,,,,
6187,pCMV-(DYKDDDDK)-N,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6187/,,,,
2202,pCMV-3Tag-1A,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/2202/,,,,
2203,pCMV-3Tag-1B,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/2203/,,,,
2204,pCMV-3Tag-1C,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/2204/,,,,
2205,pCMV-3Tag-2A,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/2205/,,,,
2206,pCMV-3Tag-2B,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/2206/,,,,
2207,pCMV-3Tag-2C,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/2207/,,,,
2208,pCMV-3Tag-3A,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/2208/,,,,
2209,pCMV-3Tag-3B,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/2209/,,,,
2210,pCMV-3Tag-3C,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/2210/,,,,
2211,pCMV-3Tag-4A,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/2211/,,,,
2212,pCMV-3Tag-4B,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/2212/,,,,
2213,pCMV-3Tag-4C,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/2213/,,,,
2214,pCMV-3Tag-6,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/2214/,,,,
2215,pCMV-3Tag-7,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/2215/,,,,
2216,pCMV-3Tag-8,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/2216/,10493,-3370.2,-0.3211855522729439,ok
2217,pCMV-3Tag-9,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/2217/,,,,
2218,pCMV-BD,"Mammalian Expression, 2-hybrid",Stratagene,Yes,https://www.addgene.org/vector-database/2218/,,,,
6296,pCMV-CLuc 2,"Mammalian Expression, Luciferase",New England Biolabs,Yes,https://www.addgene.org/vector-database/6296/,,,,
2222,pCMV-HA,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/2222/,4191,-1482.5,-0.3537341923168695,ok
6188,pCMV-HA-C,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6188/,,,,
6189,pCMV-HA-N,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6189/,6411,-2437.1,-0.38014350335361097,ok
2223,pCMV-Myc,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/2223/,4164,-1487.9,-0.35732468780019216,ok
6190,pCMV-Myc-C,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6190/,,,,
6191,pCMV-Myc-N,Mammalian Expression,Clontech,Yes,https://www.addgene.org/vector-database/6191/,,,,
2224,pCMV-Script,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/2224/,4363,-1560.9,-0.35775842310336925,ok
6192,pCMV-Script EX,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6192/,,,,
2226,pCMV-Sport 6,"Mammalian Expression,",Invitrogen,Yes,https://www.addgene.org/vector-database/2226/,8337,-3213.8,-0.3854863859901643,ok
2227,pCMV-Sport 6.1,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2227/,,,,
2228,pCMV-Sport2,Mammalian Expression,Invitrogen,Yes,https://www.addgene.org/vector-database/2228/,,,,
6193,pCMV-Tag 2A,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6193/,,,,
6194,pCMV-Tag 2C,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6194/,,,,
6195,pCMV-Tag 3A,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6195/,,,,
6196,pCMV-Tag 3B,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6196/,,,,
6197,pCMV-Tag 3C,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6197/,,,,
5471,pCMV-Tag 4A,Mammalian Expression,Stratagene,Yes,https://www.addgene.org/vector-database/5471/,,,,
6198,pCMV-Tag 4B,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6198/,,,,
6199,pCMV-Tag 4C,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6199/,,,,
6200,pCMV-Tag 5A,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6200/,,,,
6201,pCMV-Tag 5B,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6201/,,,,
6202,pCMV-Tag 5C,Mammalian Expression,Agilent Technologies,Yes,https://www.addgene.org/vector-database/6202/,,,,
2229,pCMV-Tag1,"Mammalian Expression, Bacterial Expression",Stratagene,Yes,https://www.addgene.org/vector-database/2229/,,,,
2230,pCMV-Tag2,"Mammalian Expression,",Stratagene,Yes,https://www.addgene.org/vector-database/2230/,9847,-3876.4,-0.3936630445821062,ok
