sample,ori_csv,amr_csv,prodigal,n_ori_kept,n_amr
seq_4,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_4/seq_4.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_4/seq_4.amr_calls.csv,True,0,1
seq_40,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_40/seq_40.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_40/seq_40.amr_calls.csv,True,2,1
seq_41,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_41/seq_41.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_41/seq_41.amr_calls.csv,True,0,1
seq_42,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_42/seq_42.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_42/seq_42.amr_calls.csv,True,0,0
seq_43,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_43/seq_43.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_43/seq_43.amr_calls.csv,True,0,1
seq_44,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_44/seq_44.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_44/seq_44.amr_calls.csv,True,0,1
seq_45,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_45/seq_45.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_45/seq_45.amr_calls.csv,True,0,1
seq_46,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_46/seq_46.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_46/seq_46.amr_calls.csv,True,0,1
seq_47,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_47/seq_47.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_47/seq_47.amr_calls.csv,True,0,1
seq_48,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_48/seq_48.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_48/seq_48.amr_calls.csv,True,0,1
seq_49,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_49/seq_49.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_49/seq_49.amr_calls.csv,True,1,1
seq_5,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_5/seq_5.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_5/seq_5.amr_calls.csv,True,0,1
seq_50,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_50/seq_50.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_50/seq_50.amr_calls.csv,True,0,1
seq_51,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_51/seq_51.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_51/seq_51.amr_calls.csv,True,0,1
seq_52,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_52/seq_52.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_52/seq_52.amr_calls.csv,True,1,1
seq_53,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_53/seq_53.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_53/seq_53.amr_calls.csv,True,0,1
seq_54,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_54/seq_54.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_54/seq_54.amr_calls.csv,True,0,2
seq_55,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_55/seq_55.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_55/seq_55.amr_calls.csv,True,0,2
seq_56,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_56/seq_56.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_56/seq_56.amr_calls.csv,True,0,1
seq_57,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_57/seq_57.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_57/seq_57.amr_calls.csv,True,1,1
seq_58,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_58/seq_58.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_58/seq_58.amr_calls.csv,True,0,1
seq_59,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_59/seq_59.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_59/seq_59.amr_calls.csv,True,0,1
seq_6,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_6/seq_6.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_6/seq_6.amr_calls.csv,True,1,1
seq_60,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_60/seq_60.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_60/seq_60.amr_calls.csv,True,0,1
seq_61,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_61/seq_61.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_61/seq_61.amr_calls.csv,True,0,1
seq_62,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_62/seq_62.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_62/seq_62.amr_calls.csv,True,0,1
seq_63,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_63/seq_63.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_63/seq_63.amr_calls.csv,True,0,1
seq_64,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_64/seq_64.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_64/seq_64.amr_calls.csv,True,0,1
seq_65,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_65/seq_65.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_65/seq_65.amr_calls.csv,True,0,1
seq_66,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_66/seq_66.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_66/seq_66.amr_calls.csv,True,0,1
seq_67,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_67/seq_67.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_67/seq_67.amr_calls.csv,True,0,1
seq_68,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_68/seq_68.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_68/seq_68.amr_calls.csv,True,0,1
seq_69,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_69/seq_69.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_69/seq_69.amr_calls.csv,True,0,1
seq_7,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_7/seq_7.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_7/seq_7.amr_calls.csv,True,0,1
seq_70,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_70/seq_70.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_70/seq_70.amr_calls.csv,True,0,1
seq_71,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_71/seq_71.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_71/seq_71.amr_calls.csv,True,0,1
seq_72,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_72/seq_72.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_72/seq_72.amr_calls.csv,True,0,1
seq_73,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_73/seq_73.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_73/seq_73.amr_calls.csv,True,0,2
seq_74,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_74/seq_74.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_74/seq_74.amr_calls.csv,True,0,1
seq_75,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_75/seq_75.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_75/seq_75.amr_calls.csv,True,0,1
seq_76,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_76/seq_76.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_76/seq_76.amr_calls.csv,True,0,1
seq_77,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_77/seq_77.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_77/seq_77.amr_calls.csv,True,0,1
seq_78,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_78/seq_78.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_78/seq_78.amr_calls.csv,True,0,1
seq_79,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_79/seq_79.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_79/seq_79.amr_calls.csv,True,0,1
seq_8,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_8/seq_8.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_8/seq_8.amr_calls.csv,True,0,1
seq_80,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_80/seq_80.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_80/seq_80.amr_calls.csv,True,0,1
seq_81,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_81/seq_81.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_81/seq_81.amr_calls.csv,True,0,1
seq_82,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_82/seq_82.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_82/seq_82.amr_calls.csv,True,0,1
seq_83,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_83/seq_83.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_83/seq_83.amr_calls.csv,True,0,1
seq_84,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_84/seq_84.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_84/seq_84.amr_calls.csv,True,0,1
seq_85,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_85/seq_85.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_85/seq_85.amr_calls.csv,True,0,1
seq_86,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_86/seq_86.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_86/seq_86.amr_calls.csv,True,0,1
seq_87,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_87/seq_87.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_87/seq_87.amr_calls.csv,True,0,1
seq_88,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_88/seq_88.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_88/seq_88.amr_calls.csv,True,1,1
seq_89,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_89/seq_89.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_89/seq_89.amr_calls.csv,True,0,1
seq_9,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_9/seq_9.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_9/seq_9.amr_calls.csv,True,0,1
seq_90,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_90/seq_90.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_90/seq_90.amr_calls.csv,True,0,1
seq_91,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_91/seq_91.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_91/seq_91.amr_calls.csv,True,0,1
seq_92,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_92/seq_92.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_92/seq_92.amr_calls.csv,True,0,1
seq_93,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_93/seq_93.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_93/seq_93.amr_calls.csv,True,0,1
seq_94,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_94/seq_94.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_94/seq_94.amr_calls.csv,True,0,1
seq_95,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_95/seq_95.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_95/seq_95.amr_calls.csv,True,0,1
seq_96,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_96/seq_96.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_96/seq_96.amr_calls.csv,True,0,1
seq_97,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_97/seq_97.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_97/seq_97.amr_calls.csv,True,0,1
seq_98,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_98/seq_98.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_98/seq_98.amr_calls.csv,True,0,1
seq_99,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_99/seq_99.ori_calls.csv,results_sweep_2frbbrx7/qc/sweep_2frbbrx7/individual_sequences_qc/seq_99/seq_99.amr_calls.csv,True,1,1
