Plasmid_ID,reason failed
seq_57,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_58,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_59,"ORI low-threshold count 6 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_6,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_60,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 7 outside [1,1]; repeat ≥ 50"
seq_61,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_62,repeat ≥ 50
seq_63,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_64,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_65,"ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_66,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_67,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_68,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_69,"ORI low-threshold count 9 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_7,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_70,"ORI low-threshold count 6 outside [1,1]; ARG low-threshold count 8 outside [1,1]; repeat ≥ 50"
seq_71,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_72,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_73,"ORI low-threshold count 6 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_74,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_75,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 6 outside [1,1]; repeat ≥ 50"
seq_76,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_77,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_78,No ORI; No ARG
seq_79,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_8,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_80,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_81,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_82,No ORI; No ARG
seq_83,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_84,"ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_85,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_86,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_87,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_88,"ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0); repeat ≥ 50"
seq_89,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_9,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_90,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_92,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 6 outside [1,1]; repeat ≥ 50"
seq_93,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_94,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_95,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_96,repeat ≥ 50
seq_97,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_98,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_99,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
