Name,Protein id,Contig id,Start,Stop,Strand,symbol,name,Scope,Type,Subtype,Class,Subclass,Method,Target length,Reference sequence length,pct_cov,pct_identity,Alignment length,Closest reference accession,Closest reference name,HMM accession,HMM description,sequence
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0015,2709,3365,-,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,219,219,100.0,100.0,219,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0015
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0015,5474,5923,-,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIALX,150,219,68.49,100.0,150,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0015
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0015,7910,8767,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0015
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0015,10770,11561,-,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_000572405.1,aminoglycoside O-phosphotransferase APH(3')-IIa,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0015
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0019,2075,2527,-,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIALX,151,219,68.95,99.34,151,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0019
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0020,2709,3365,-,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,219,219,100.0,100.0,219,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0020
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0020,3913,4569,-,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,BLASTX,219,219,100.0,99.54,219,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0020
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0022,2061,2918,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0022
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0022,3746,4603,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0022
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0022,9388,10194,+,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,BLASTX,269,271,100.0,99.26,271,WP_000018329.1,aminoglycoside O-phosphotransferase APH(3')-Ia,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0022
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0023,2707,3564,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0023
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0023,5566,6423,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0023
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0023,8416,9072,-,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,219,219,100.0,100.0,219,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0023
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0024,1910,2767,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0024
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0024,5093,5950,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0024
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0026,2072,2929,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0026
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0026,4931,5788,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0026
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0026,7790,8647,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0026
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0026,10649,11506,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0026
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0031,1070,1858,+,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100.0,100.0,263,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0031
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0035,2025,2882,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0035
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0035,4884,5741,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0035
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0035,7744,8535,-,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_000572405.1,aminoglycoside O-phosphotransferase APH(3')-IIa,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0035
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0036,1948,2805,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0036
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0036,5001,5858,+,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0036
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0041,3032,3889,-,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027050.1,broad-spectrum class A beta-lactamase TEM-116,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0041
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0047,2806,3597,-,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_000572405.1,aminoglycoside O-phosphotransferase APH(3')-IIa,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0047
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0047,6166,6978,-,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,271,271,100.0,100.0,271,WP_000018329.1,aminoglycoside O-phosphotransferase APH(3')-Ia,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0047
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0048,2952,3563,+,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,204,396,51.52,97.06,204,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,UCL_CSSB_PlasmidGPT_GFP_cassette_0048
UCL_CSSB_PlasmidGPT_GFP_cassette,,UCL_CSSB_PlasmidGPT_GFP_cassette_0048,5862,6536,-,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,BLASTX,225,219,100.0,97.33,225,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,,,UCL_CSSB_PlasmidGPT_GFP_cassette_0048
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0000,1009,1866,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0000
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0000,3888,4508,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0000
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0001,814,1671,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0001
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0001,3693,4313,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0001
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0003,750,1607,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0003
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0003,3629,4249,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0003
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0005,881,1738,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0005
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0005,3760,4380,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0005
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0006,873,1730,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0006
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0006,3752,4372,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0006
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0009,768,1625,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0009
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0009,3647,4267,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0009
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0010,1191,2048,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0010
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0010,4070,4690,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0010
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0013,776,1633,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0013
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0013,3655,4275,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0013
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0018,1112,1969,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0018
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0018,3991,4611,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0018
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0020,1088,1945,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0020
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0020,3967,4587,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0020
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0029,1040,1897,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0029
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0029,3919,4539,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0029
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0031,757,1614,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100.0,100.0,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,,,McClain_PlasmidGPT_RL_ATG_0031
McClain_PlasmidGPT_RL_ATG,,McClain_PlasmidGPT_RL_ATG_0031,3636,4256,-,tet(C),tetracycline efflux MFS transporter Tet(C),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,207,396,52.27,100.0,207,WP_001297013.1,tetracycline efflux MFS transporter Tet(C),,,McClain_PlasmidGPT_RL_ATG_0031
