Plasmid_ID,reason failed
seq_66,No ORI; No ARG
seq_67,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_68,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_69,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_7,"ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_70,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_71,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_72,repeat ≥ 50
seq_73,repeat ≥ 50
seq_74,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_75,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_76,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_77,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_78,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_79,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_8,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_80,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_81,"ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_82,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]"
seq_83,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_84,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_85,repeat ≥ 50
seq_86,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_87,"ORI low-threshold count 0 outside [1,1]"
seq_88,"ORI low-threshold count 0 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_89,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_9,No ORI; No ARG
seq_90,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_91,No ORI; No ARG
seq_92,"ORI low-threshold count 5 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_93,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_94,No ORI; No ARG; repeat ≥ 50
seq_95,No ORI; No ARG
seq_96,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_97,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 5 outside [1,1]; repeat ≥ 50"
seq_98,"ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_99,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
